city,country,latitude,longitude,temperature
Kosice,Slovakia,48.73,21.25,7.31
Koszalin,Poland,54.20,16.18,7.73
Kremenchuk,Ukraine,49.08,33.43,7.43
Kryvyy Rih,Ukraine,47.93,33.34,8.61
Le Mans,France,48.00,0.10,10.59
Lille,France,50.65,3.08,9.65
Limoges,France,45.83,1.25,10.32
Linz,Austria,48.32,14.29,6.79
Lisbon,Portugal,38.72,-9.14,15.52
Ljubljana,Slovenia,46.06,14.51,9.27
Lvov,Ukraine,49.83,24.03,7.04
Maastricht,Netherlands,50.85,5.68,8.63
Madrid,Spain,40.40,-3.68,11.19
Magdeburg,Germany,52.13,11.62,8.26
Makiyivka,Ukraine,48.03,37.97,8.70
Malatya,Turkey,38.37,38.30,14.13
Malmö,Sweden,55.58,13.03,7.33
Manisa,Turkey,38.63,27.44,15.10
Marbella,Spain,36.52,-4.88,17.19
Marseille,France,43.29,5.38,14.98
Mazyr,Belarus,52.05,29.27,6.25
Messina,Italy,38.20,15.55,16.54
Metz,France,49.12,6.18,8.88
Milan,Italy,45.47,9.21,6.65
Minsk,Belarus,53.90,27.57,5.28
Montpellier,France,43.61,3.87,11.11
Mulhouse,France,47.75,7.35,6.68
Murcia,Spain,37.98,-1.13,15.00
Nice,France,43.72,7.27,8.82
Nis,Serbia,43.33,21.90,9.36
Novi Sad,Serbia,45.25,19.85,10.34
Odense,Denmark,55.40,10.38,7.73
Ordu,Turkey,41.00,37.87,11.92
Orsha,Belarus,54.52,30.42,4.93
Oslo,Norway,59.92,10.75,2.32
Ostrava,Czech Republic,49.83,18.25,7.66
Oulu,Finland,65.00,25.47,1.45
Oviedo,Spain,43.35,-5.83,10.85
Palermo,Italy,38.13,13.35,17.90
Patras,Greece,38.23,21.73,16.90
Perpignan,France,42.70,2.90,10.95
Perugia,Italy,43.11,12.39,11.70
Pescara,Italy,42.46,14.22,15.13
Pinsk,Belarus,52.13,26.09,6.42
Pleven,Bulgaria,43.42,24.61,10.51
Plovdiv,Bulgaria,42.15,24.75,8.27
Podgorica,Montenegro,42.47,19.27,9.99
Poznan,Poland,52.41,16.90,8.31
Prague,Czech Republic,50.08,14.47,8.05
Reims,France,49.25,4.03,9.40
Riga,Latvia,56.95,24.10,5.16
Rijeka,Croatia,45.33,14.45,9.27
Rivne,Ukraine,50.62,26.25,6.76
Rome,Italy,41.90,12.48,15.10
Rostock,Germany,54.07,12.15,8.07
Ruse,Bulgaria,43.85,25.97,10.59
Salamanca,Spain,40.97,-5.67,11.63
Salzburg,Austria,47.81,13.04,4.62
Samsun,Turkey,41.28,36.34,12.05
Santander,Spain,43.38,-3.80,13.40
Sarajevo,Bosnia and Herzegovina,43.85,13.38,9.60
Sibiu,Romania,45.80,24.14,6.97
Siirt,Turkey,37.94,41.93,12.48
Sivas,Turkey,39.75,37.03,8.05
Skopje,Macedonia,42.00,21.43,9.36
Split,Croatia,43.52,16.47,12.46
Stara Zagora,Bulgaria,42.42,25.62,10.90
Stavanger,Norway,58.97,5.68,5.53
Stockholm,Sweden,59.35,18.10,6.26
Sumy,Ukraine,50.92,34.78,6.28
Swansea,United Kingdom,51.63,-3.95,9.73
Szeged,Hungary,46.25,20.15,10.34
Tallinn,Estonia,59.43,24.73,4.82
Tampere,Finland,61.50,23.75,3.59
Tarsus,Turkey,36.92,34.88,11.21
Tartu,Estonia,58.38,26.71,4.36
Tekirdag,Turkey,40.99,27.51,13.02
Toulouse,France,43.62,1.45,10.25
Trabzon,Turkey,40.98,39.72,10.28
Trieste,Italy,45.65,13.80,11.21
Trikala,Greece,39.56,21.77,16.00
Trondheim,Norway,63.42,10.42,4.53
Turku,Finland,60.45,22.25,4.72
Uppsala,Sweden,59.86,17.64,4.17
Valencia,Spain,39.49,-0.40,16.02
Vienna,Austria,48.20,16.37,7.86
Vigo,Spain,42.22,-8.73,12.85
Vilnius,Lithuania,54.68,25.32,5.38
Warsaw,Poland,52.25,21.00,7.20
Wroclaw,Poland,51.11,17.03,7.17
Yevpatoriya,Ukraine,45.20,33.36,10.02
Zaragoza,Spain,41.65,-0.89,14.17
Zhytomyr,Ukraine,50.25,28.66,6.67
Zonguldak,Turkey,41.43,31.78,10.64
Zurich,Switzerland,47.38,8.56,6.68
